,names,limnion,fraction,month,year,season,station,total_bac_abund,SE_total_bac_abund,attached_bac,SE_attached_bac,perc_attached_abund,SE_perc_attached_abund,tot_bacprod,SD_tot_bacprod,frac_bacprod,SD_frac_bacprod,perc_attached_bacprod,SD_perc_attached_bacprod
MOTEP714,MOTEP714,Surface,Particle,July,2014,Summer,Channel,599610,48772.50404,83424,21696.62463,12.92430171,3.25332643,62.50752,3.272221364,,,,
MDPHF914,MDPHF914,Deep,Free,September,2014,Fall,Deep,,,,,,,,,,,,
MDPEF914,MDPEF914,Surface,Free,September,2014,Fall,Deep,651750,26410.79878,52140,25445.06228,6.44981587,2.978576676,19.64245029,11.20479334,,,,
MDPHN914,MDPHN914,Deep,Nano,September,2014,Fall,Deep,,,,,,,,,,,,
MDPEN914,MDPEN914,Surface,Nano,September,2014,Fall,Deep,,,,,,,,,,,,
MDPHP914,MDPHP914,Deep,Particle,September,2014,Fall,Deep,,,,,,,,,,,,
MDPEP914,MDPEP914,Surface,Particle,September,2014,Fall,Deep,651750,26410.79878,52140,25445.06228,6.44981587,2.978576676,19.64245029,11.20479334,,,,
MDPHF514,MDPHF514,Deep,Free,May,2014,Spring,Deep,,,,,,,,,,,,
MDPEF514,MDPEF514,Surface,Free,May,2014,Spring,Deep,861613.5,30815.98439,175972.5,24650.6835,19.5234935,2.574909806,43.30142,4.65472129,,,,
MDPHN514,MDPHN514,Deep,Nano,May,2014,Spring,Deep,,,,,,,,,,,,
MDPEN514,MDPEN514,Surface,Nano,May,2014,Spring,Deep,,,,,,,,,,,,
MDPHP514,MDPHP514,Deep,Particle,May,2014,Spring,Deep,,,,,,,,,,,,
MDPHF714,MDPHF714,Deep,Free,July,2014,Summer,Deep,,,,,,,,,,,,
MDPEF714,MDPEF714,Surface,Free,July,2014,Summer,Deep,1620250.5,101943.1043,142081.5,28960.92994,7.709538952,1.403961369,59.36736,6.376774907,,,,
MDPHN714,MDPHN714,Deep,Nano,July,2014,Summer,Deep,,,,,,,,,,,,
MDPEN714,MDPEN714,Surface,Nano,July,2014,Summer,Deep,,,,,,,,,,,,
MDPHP714,MDPHP714,Deep,Particle,July,2014,Summer,Deep,,,,,,,,,,,,
MDPEP714,MDPEP714,Surface,Particle,July,2014,Summer,Deep,1620250.5,101943.1043,142081.5,28960.92994,7.709538952,1.403961369,59.36736,6.376774907,,,,
MINHF914,MINHF914,Deep,Free,September,2014,Fall,River,,,,,,,,,,,,
MINEF914,MINEF914,Surface,Free,September,2014,Fall,River,606127.5,38337.08513,80817,24579.84022,12.3589183,3.688239584,44.85909029,11.18992399,,,,
MINHN914,MINHN914,Deep,Nano,September,2014,Fall,River,,,,,,,,,,,,
MINEN914,MINEN914,Surface,Nano,September,2014,Fall,River,,,,,,,,,,,,
MINHP914,MINHP914,Deep,Particle,September,2014,Fall,River,,,,,,,,,,,,
MINEP914,MINEP914,Surface,Particle,September,2014,Fall,River,606127.5,38337.08513,80817,24579.84022,12.3589183,3.688239584,44.85909029,11.18992399,,,,
MINHF514,MINHF514,Deep,Free,May,2014,Spring,River,,,,,,,,,,,,
MINEF514,MINEF514,Surface,Free,May,2014,Spring,River,1386924,47794.58421,285466.5,24033.49201,20.5378528,1.780963939,96.44751,11.26773385,,,,
MINHN514,MINHN514,Deep,Nano,May,2014,Spring,River,,,,,,,,,,,,
MINEN514,MINEN514,Surface,Nano,May,2014,Spring,River,,,,,,,,,,,,
MINHP514,MINHP514,Deep,Particle,May,2014,Spring,River,,,,,,,,,,,,
MINHF714,MINHF714,Deep,Free,July,2014,Summer,River,,,,,,,,,,,,
MINEF714,MINEF714,Surface,Free,July,2014,Summer,River,799045.5,46492.35489,89941.5,22256.14374,10.79854343,2.67724057,96.9776,7.411,,,,
MINHN714,MINHN714,Deep,Nano,July,2014,Summer,River,,,,,,,,,,,,
MINEN714,MINEN714,Surface,Nano,July,2014,Summer,River,,,,,,,,,,,,
MINHP714,MINHP714,Deep,Particle,July,2014,Summer,River,,,,,,,,,,,,
MINEP714,MINEP714,Surface,Particle,July,2014,Summer,River,799045.5,46492.35489,89941.5,22256.14374,10.79854343,2.67724057,96.9776,7.411,,,,
MBRHF915,MBRHF915,Deep,Free,September,2015,Fall,Bear,278949,12841.46858,13035,9736.148014,3.583333333,2.588421701,,,,,,
MBREF915,MBREF915,Surface,Free,September,2015,Fall,Bear,419727,25226.2215,39105,13833.78818,8.355439767,2.822125976,22.2321951,0.82873215,11.33102201,0.531793379,49.0420023,0.928452129
MBRHP915,MBRHP915,Deep,Particle,September,2015,Fall,Bear,278949,12841.46858,13035,9736.148014,3.583333333,2.588421701,,,,,,
MBREP915,MBREP915,Surface,Particle,September,2015,Fall,Bear,419727,25226.2215,39105,13833.78818,8.355439767,2.822125976,22.2321951,0.82873215,10.90117309,0.380596891,49.0420023,0.928452129
MBRHK915,MBRHK915,Deep,WholeFree,September,2015,Fall,Bear,278949,12841.46858,13035,9736.148014,3.583333333,2.588421701,,,,,,
MBREK915,MBREK915,Surface,WholeFree,September,2015,Fall,Bear,419727,25226.2215,39105,13833.78818,8.355439767,2.822125976,22.2321951,0.82873215,11.33102201,0.531793379,49.0420023,0.928452129
MBRHJ915,MBRHJ915,Deep,WholePart,September,2015,Fall,Bear,278949,12841.46858,13035,9736.148014,3.583333333,2.588421701,,,,,,
MBREJ915,MBREJ915,Surface,WholePart,September,2015,Fall,Bear,419727,25226.2215,39105,13833.78818,8.355439767,2.822125976,22.2321951,0.82873215,10.90117309,0.380596891,49.0420023,0.928452129
MBRHF515,MBRHF515,Deep,Free,May,2015,Spring,Bear,669999,33519.55149,6517.5,6517.5,0.925925926,0.925925926,,,,,,
MBREF515,MBREF515,Surface,Free,May,2015,Spring,Bear,494026.5,25757.6905,24766.5,24766.5,3.518518519,3.518518519,29.34466745,10.78382665,18.52939787,5.805121268,48.48302048,7.923446869
MBRHP515,MBRHP515,Deep,Particle,May,2015,Spring,Bear,669999,33519.55149,6517.5,6517.5,0.925925926,0.925925926,,,,,,
MBREP515,MBREP515,Surface,Particle,May,2015,Spring,Bear,494026.5,25757.6905,24766.5,24766.5,3.518518519,3.518518519,29.34466745,10.78382665,16.99173554,5.463046045,48.48302048,7.923446869
MBRHK515,MBRHK515,Deep,WholeFree,May,2015,Spring,Bear,669999,33519.55149,6517.5,6517.5,0.925925926,0.925925926,,,,,,
MBREK515,MBREK515,Surface,WholeFree,May,2015,Spring,Bear,494026.5,25757.6905,24766.5,24766.5,3.518518519,3.518518519,29.34466745,10.78382665,18.52939787,5.805121268,48.48302048,7.923446869
MBRHJ515,MBRHJ515,Deep,WholePart,May,2015,Spring,Bear,669999,33519.55149,6517.5,6517.5,0.925925926,0.925925926,,,,,,
MBREJ515,MBREJ515,Surface,WholePart,May,2015,Spring,Bear,494026.5,25757.6905,24766.5,24766.5,3.518518519,3.518518519,29.34466745,10.78382665,16.99173554,5.463046045,48.48302048,7.923446869
MBRHF715,MBRHF715,Deep,Free,July,2015,Summer,Bear,546166.5,26239.24864,50836.5,16431.06795,8.222140027,2.59195137,,,,,,
MBREF715,MBREF715,Surface,Free,July,2015,Summer,Bear,890290.5,32334.047,44319,13519.9374,4.772843366,1.468646272,11.873,2.148,9.342949523,3.399,23.23854978,16.24508729
MBRHP715,MBRHP715,Deep,Particle,July,2015,Summer,Bear,546166.5,26239.24864,50836.5,16431.06795,8.222140027,2.59195137,,,,,,
MBREP715,MBREP715,Surface,Particle,July,2015,Summer,Bear,890290.5,32334.047,44319,13519.9374,4.772843366,1.468646272,11.873,2.148,2.5298939,1.262,23.23854978,16.24508729
MBRHK715,MBRHK715,Deep,WholeFree,July,2015,Summer,Bear,546166.5,26239.24864,50836.5,16431.06795,8.222140027,2.59195137,,,,,,
MBREK715,MBREK715,Surface,WholeFree,July,2015,Summer,Bear,890290.5,32334.047,44319,13519.9374,4.772843366,1.468646272,11.873,2.148,9.342949523,3.399,23.23854978,16.24508729
MBRHJ715,MBRHJ715,Deep,WholePart,July,2015,Summer,Bear,546166.5,26239.24864,50836.5,16431.06795,8.222140027,2.59195137,,,,,,
MBREJ715,MBREJ715,Surface,WholePart,July,2015,Summer,Bear,890290.5,32334.047,44319,13519.9374,4.772843366,1.468646272,11.873,2.148,2.5298939,1.262,23.23854978,16.24508729
MOTHF915,MOTHF915,Deep,Free,September,2015,Fall,Channel,332392.5,10844.18983,19552.5,10844.18983,5.080128205,2.785277375,,,,,,
MOTEF915,MOTEF915,Surface,Free,September,2015,Fall,Channel,788617.5,28361.86718,71692.5,20965.05452,8.978565485,2.643645735,8.913001909,0.551639868,4.252574688,0.913198056,52.00255462,11.36458018
MOTHP915,MOTHP915,Deep,Particle,September,2015,Fall,Channel,332392.5,10844.18983,19552.5,10844.18983,5.080128205,2.785277375,,,,,,
MOTEP915,MOTEP915,Surface,Particle,September,2015,Fall,Channel,788617.5,28361.86718,71692.5,20965.05452,8.978565485,2.643645735,8.913001909,0.551639868,4.660427221,1.23995245,52.00255462,11.36458018
MOTHK915,MOTHK915,Deep,WholeFree,September,2015,Fall,Channel,332392.5,10844.18983,19552.5,10844.18983,5.080128205,2.785277375,,,,,,
MOTEK915,MOTEK915,Surface,WholeFree,September,2015,Fall,Channel,788617.5,28361.86718,71692.5,20965.05452,8.978565485,2.643645735,8.913001909,0.551639868,4.252574688,0.913198056,52.00255462,11.36458018
MOTHJ915,MOTHJ915,Deep,WholePart,September,2015,Fall,Channel,332392.5,10844.18983,19552.5,10844.18983,5.080128205,2.785277375,,,,,,
MOTEJ915,MOTEJ915,Surface,WholePart,September,2015,Fall,Channel,788617.5,28361.86718,71692.5,20965.05452,8.978565485,2.643645735,8.913001909,0.551639868,4.660427221,1.23995245,52.00255462,11.36458018
MOTHF515,MOTHF515,Deep,Free,May,2015,Spring,Channel,599610,21229.976,9124.5,6350.713283,1.388888889,0.976910168,,,,,,
MOTEF515,MOTEF515,Surface,Free,May,2015,Spring,Channel,823812,17681.53427,0,0,0,0,40.01700118,23.65249705,28.62809917,16.76703185,29.62215792,0.753344588
MOTHP515,MOTHP515,Deep,Particle,May,2015,Spring,Channel,599610,21229.976,9124.5,6350.713283,1.388888889,0.976910168,,,,,,
MOTEP515,MOTEP515,Surface,Particle,May,2015,Spring,Channel,823812,17681.53427,0,0,0,0,40.01700118,23.65249705,11.38890201,0.435450882,29.62215792,0.753344588
MOTHK515,MOTHK515,Deep,WholeFree,May,2015,Spring,Channel,599610,21229.976,9124.5,6350.713283,1.388888889,0.976910168,,,,,,
MOTEK515,MOTEK515,Surface,WholeFree,May,2015,Spring,Channel,823812,17681.53427,0,0,0,0,40.01700118,23.65249705,28.62809917,16.76703185,29.62215792,0.753344588
MOTHJ515,MOTHJ515,Deep,WholePart,May,2015,Spring,Channel,599610,21229.976,9124.5,6350.713283,1.388888889,0.976910168,,,,,,
MOTEJ515,MOTEJ515,Surface,WholePart,May,2015,Spring,Channel,823812,17681.53427,0,0,0,0,40.01700118,23.65249705,11.38890201,0.435450882,29.62215792,0.753344588
MOTHF715,MOTHF715,Deep,Free,July,2015,Summer,Channel,504454.5,32389.31419,32587.5,14010.43106,4.954901961,2.031224469,,,,,,
MOTEF715,MOTEF715,Surface,Free,July,2015,Summer,Channel,1064959.5,45520.45806,40408.5,17485.7307,3.181746032,1.331500722,16.949,2.693,14.65649431,2.473,13.58931124,1.916300261
MOTHP715,MOTHP715,Deep,Particle,July,2015,Summer,Channel,504454.5,32389.31419,32587.5,14010.43106,4.954901961,2.031224469,,,,,,
MOTEP715,MOTEP715,Surface,Particle,July,2015,Summer,Channel,1064959.5,45520.45806,40408.5,17485.7307,3.181746032,1.331500722,16.949,2.693,2.292906518,0.385,13.58931124,1.916300261
MOTHK715,MOTHK715,Deep,WholeFree,July,2015,Summer,Channel,504454.5,32389.31419,32587.5,14010.43106,4.954901961,2.031224469,,,,,,
MOTEK715,MOTEK715,Surface,WholeFree,July,2015,Summer,Channel,1064959.5,45520.45806,40408.5,17485.7307,3.181746032,1.331500722,16.949,2.693,14.65649431,2.473,13.58931124,1.916300261
MOTHJ715,MOTHJ715,Deep,WholePart,July,2015,Summer,Channel,504454.5,32389.31419,32587.5,14010.43106,4.954901961,2.031224469,,,,,,
MOTEJ715,MOTEJ715,Surface,WholePart,July,2015,Summer,Channel,1064959.5,45520.45806,40408.5,17485.7307,3.181746032,1.331500722,16.949,2.693,2.292906518,0.385,13.58931124,1.916300261
MDPHF915,MDPHF915,Deep,Free,September,2015,Fall,Deep,597003,21966.97246,46926,18492.39565,7.822223794,3.036065995,,,,,,
MDPEF915,MDPEF915,Surface,Free,September,2015,Fall,Deep,666088.5,36354.38144,41712,14453.42104,6.270238095,2.271396964,10.0944757,1.425829654,5.242086091,0.525331005,47.85393969,2.384106283
MDPHP915,MDPHP915,Deep,Particle,September,2015,Fall,Deep,597003,21966.97246,46926,18492.39565,7.822223794,3.036065995,,,,,,
MDPEP915,MDPEP915,Surface,Particle,September,2015,Fall,Deep,666088.5,36354.38144,41712,14453.42104,6.270238095,2.271396964,10.0944757,1.425829654,4.852389613,0.91136735,47.85393969,2.384106283
MDPHK915,MDPHK915,Deep,WholeFree,September,2015,Fall,Deep,597003,21966.97246,46926,18492.39565,7.822223794,3.036065995,,,,,,
MDPEK915,MDPEK915,Surface,WholeFree,September,2015,Fall,Deep,666088.5,36354.38144,41712,14453.42104,6.270238095,2.271396964,10.0944757,1.425829654,5.242086091,0.525331005,47.85393969,2.384106283
MDPHJ915,MDPHJ915,Deep,WholePart,September,2015,Fall,Deep,597003,21966.97246,46926,18492.39565,7.822223794,3.036065995,,,,,,
MDPEJ915,MDPEJ915,Surface,WholePart,September,2015,Fall,Deep,666088.5,36354.38144,41712,14453.42104,6.270238095,2.271396964,10.0944757,1.425829654,4.852389613,0.91136735,47.85393969,2.384106283
MDPHF515,MDPHF515,Deep,Free,May,2015,Spring,Deep,675213,22687.91715,26070,12110.33506,3.326149425,1.554790548,,,,,,
MDPEF515,MDPEF515,Surface,Free,May,2015,Spring,Deep,972411,32927.38176,13035,7682.564282,1.357917151,0.813709198,30.01275089,16.14460825,26.96890988,14.5896988,10.29266739,0.968120259
MDPHP515,MDPHP515,Deep,Particle,May,2015,Spring,Deep,675213,22687.91715,26070,12110.33506,3.326149425,1.554790548,,,,,,
MDPEP515,MDPEP515,Surface,Particle,May,2015,Spring,Deep,972411,32927.38176,13035,7682.564282,1.357917151,0.813709198,30.01275089,16.14460825,3.043841007,1.597620042,10.29266739,0.968120259
MDPHK515,MDPHK515,Deep,WholeFree,May,2015,Spring,Deep,675213,22687.91715,26070,12110.33506,3.326149425,1.554790548,,,,,,
MDPEK515,MDPEK515,Surface,WholeFree,May,2015,Spring,Deep,972411,32927.38176,13035,7682.564282,1.357917151,0.813709198,30.01275089,16.14460825,26.96890988,14.5896988,10.29266739,0.968120259
MDPHJ515,MDPHJ515,Deep,WholePart,May,2015,Spring,Deep,675213,22687.91715,26070,12110.33506,3.326149425,1.554790548,,,,,,
MDPEJ515,MDPEJ515,Surface,WholePart,May,2015,Spring,Deep,972411,32927.38176,13035,7682.564282,1.357917151,0.813709198,30.01275089,16.14460825,3.043841007,1.597620042,10.29266739,0.968120259
MDPHF715,MDPHF715,Deep,Free,July,2015,Summer,Deep,1190095.5,37219.79373,41712,14203.77495,3.429793522,1.141183034,,,,,,
MDPEF715,MDPEF715,Surface,Free,July,2015,Summer,Deep,1483383,36326.08195,66478.5,19238.97579,4.566917865,1.393115051,49,2.873,43.60239044,3.051876148,11.72153341,1.201758138
MDPHP715,MDPHP715,Deep,Particle,July,2015,Summer,Deep,1190095.5,37219.79373,41712,14203.77495,3.429793522,1.141183034,,,,,,
MDPEP715,MDPEP715,Surface,Particle,July,2015,Summer,Deep,1483383,36326.08195,66478.5,19238.97579,4.566917865,1.393115051,49,2.873,5.767330017,0.336239562,11.72153341,1.201758138
MDPHK715,MDPHK715,Deep,WholeFree,July,2015,Summer,Deep,1190095.5,37219.79373,41712,14203.77495,3.429793522,1.141183034,,,,,,
MDPEK715,MDPEK715,Surface,WholeFree,July,2015,Summer,Deep,1483383,36326.08195,66478.5,19238.97579,4.566917865,1.393115051,49,2.873,43.60239044,3.051876148,11.72153341,1.201758138
MDPHJ715,MDPHJ715,Deep,WholePart,July,2015,Summer,Deep,1190095.5,37219.79373,41712,14203.77495,3.429793522,1.141183034,,,,,,
MDPEJ715,MDPEJ715,Surface,WholePart,July,2015,Summer,Deep,1483383,36326.08195,66478.5,19238.97579,4.566917865,1.393115051,49,2.873,5.767330017,0.336239562,11.72153341,1.201758138
MINHF915,MINHF915,Deep,Free,September,2015,Fall,River,744298.5,34068.64424,69085.5,23944.02314,8.563796475,2.775617747,,,,,,
MINEF915,MINEF915,Surface,Free,September,2015,Fall,River,591789,27738.59348,75603,29778.47781,10.4098377,3.609522341,41.94656296,10.30113852,26.04632248,8.335451745,38.78164098,5.355751056
MINHP915,MINHP915,Deep,Particle,September,2015,Fall,River,744298.5,34068.64424,69085.5,23944.02314,8.563796475,2.775617747,,,,,,
MINEP915,MINEP915,Surface,Particle,September,2015,Fall,River,591789,27738.59348,75603,29778.47781,10.4098377,3.609522341,41.94656296,10.30113852,15.90024048,2.002419789,38.78164098,5.355751056
MINHK915,MINHK915,Deep,WholeFree,September,2015,Fall,River,744298.5,34068.64424,69085.5,23944.02314,8.563796475,2.775617747,,,,,,
MINEK915,MINEK915,Surface,WholeFree,September,2015,Fall,River,591789,27738.59348,75603,29778.47781,10.4098377,3.609522341,41.94656296,10.30113852,26.04632248,8.335451745,38.78164098,5.355751056
MINHJ915,MINHJ915,Deep,WholePart,September,2015,Fall,River,744298.5,34068.64424,69085.5,23944.02314,8.563796475,2.775617747,,,,,,
MINEJ915,MINEJ915,Surface,WholePart,September,2015,Fall,River,591789,27738.59348,75603,29778.47781,10.4098377,3.609522341,41.94656296,10.30113852,15.90024048,2.002419789,38.78164098,5.355751056
MINHF515,MINHF515,Deep,Free,May,2015,Spring,River,868131,31653.43055,3910.5,3910.5,0.555555556,0.555555556,,,,,,
MINEF515,MINEF515,Surface,Free,May,2015,Spring,River,427548,17168.32146,9124.5,6890.988031,2.103174603,1.528001535,94.20920897,7.767690269,63.60393546,7.096544415,32.59151735,2.234504133
MINHP515,MINHP515,Deep,Particle,May,2015,Spring,River,868131,31653.43055,3910.5,3910.5,0.555555556,0.555555556,,,,,,
MINEP515,MINEP515,Surface,Particle,May,2015,Spring,River,427548,17168.32146,9124.5,6890.988031,2.103174603,1.528001535,94.20920897,7.767690269,30.60527351,1.238002035,32.59151735,2.234504133
MINHK515,MINHK515,Deep,WholeFree,May,2015,Spring,River,868131,31653.43055,3910.5,3910.5,0.555555556,0.555555556,,,,,,
MINEK515,MINEK515,Surface,WholeFree,May,2015,Spring,River,427548,17168.32146,9124.5,6890.988031,2.103174603,1.528001535,94.20920897,7.767690269,63.60393546,7.096544415,32.59151735,2.234504133
MINHJ515,MINHJ515,Deep,WholePart,May,2015,Spring,River,868131,31653.43055,3910.5,3910.5,0.555555556,0.555555556,,,,,,
MINEJ515,MINEJ515,Surface,WholePart,May,2015,Spring,River,427548,17168.32146,9124.5,6890.988031,2.103174603,1.528001535,94.20920897,7.767690269,30.60527351,1.238002035,32.59151735,2.234504133
MINHF715,MINHF715,Deep,Free,July,2015,Summer,River,514882.5,27788.51929,78210,27537.98513,10.76652337,3.578780423,,,,,,
MINEF715,MINEF715,Surface,Free,July,2015,Summer,River,685641,23233.19035,67782,21263.64767,8.158416747,2.49004562,47.15773869,9.980449927,36.63797459,10.538,23.27880958,7.063432005
MINHP715,MINHP715,Deep,Particle,July,2015,Summer,River,514882.5,27788.51929,78210,27537.98513,10.76652337,3.578780423,,,,,,
MINEP715,MINEP715,Surface,Particle,July,2015,Summer,River,685641,23233.19035,67782,21263.64767,8.158416747,2.49004562,47.15773869,9.980449927,10.5197641,0.984,23.27880958,7.063432005
MINHK715,MINHK715,Deep,WholeFree,July,2015,Summer,River,514882.5,27788.51929,78210,27537.98513,10.76652337,3.578780423,,,,,,
MINEK715,MINEK715,Surface,WholeFree,July,2015,Summer,River,685641,23233.19035,67782,21263.64767,8.158416747,2.49004562,47.15773869,9.980449927,36.63797459,10.538,23.27880958,7.063432005
MINHJ715,MINHJ715,Deep,WholePart,July,2015,Summer,River,514882.5,27788.51929,78210,27537.98513,10.76652337,3.578780423,,,,,,
MINEJ715,MINEJ715,Surface,WholePart,July,2015,Summer,River,685641,23233.19035,67782,21263.64767,8.158416747,2.49004562,47.15773869,9.980449927,10.5197641,0.984,23.27880958,7.063432005
