extractor_Name,extraction_Date,extraction,dna_concentration_ng_per_ul,picogreen_Name,picogreen_date,year,month,date,sample_ID,sequencing_ID,plate_Map,replicate_ID,lake,lakesite,replicate,limnion,prefilter_um,fraction,project
Marian,2/3/16,DNA_only,1.2219,Edna,2/24/16,2015,May,5/12/15,MOTE2_P515,MOTE2P515,yes_plateC,MOTE_P515,Muskegon,Outlet,E2,Epilimnion,20,Particle,GVSU
Marian,2/3/16,DNA_only,2.4748,Edna,2/24/16,2015,July,7/21/15,MOTE1_F715,MOTE1F715,yes_plateC,MOTE_F715,Muskegon,Outlet,E1,Epilimnion,3,Free,GVSU
Marian,2/3/16,DNA_only,1.6245,Edna,2/24/16,2015,May,5/12/15,MINH2_P515,MINH2P515,yes_plateC,MINH_P515,Muskegon,Inlet,H2,Hypolimnion,20,Particle,GVSU
Marian,2/5/16,DNA_only,0.6267,Edna,2/15/16,2015,September,9/30/15,MBRH2_F915,MBRH2F915,not_sequenced,MBRH_F915,Muskegon,Bear,H2,Hypolimnion,3,Free,GVSU
Marian,2/5/16,DNA_only,1.504,Edna,2/15/16,2015,July,7/21/15,MDPH1_F715,MDPH1F715,yes_plateC,MDPH_F715,Muskegon,Deep,H1,Hypolimnion,3,Free,GVSU
Marian,2/5/16,DNA_only,2.8639,Edna,2/15/16,2015,September,9/30/15,MOTE2_F915,MOTE2F915,yes_plateC,MOTE_F915,Muskegon,Outlet,E2,Epilimnion,3,Free,GVSU
Marian,2/5/16,DNA_only,2.9627,Edna,2/15/16,2015,May,5/12/15,MOTH1_F515,MOTH1F515,yes_plateC,MOTH_F515,Muskegon,Outlet,H1,Hypolimnion,3,Free,GVSU
Marian,2/5/16,DNA_only,5.3193,Edna,2/15/16,2015,September,9/30/15,MDPE2_F915,MDPE2F915,yes_plateC,MDPE_F915,Muskegon,Deep,E2,Epilimnion,3,Free,GVSU
Marian,2/5/16,DNA_only,3.1244,Edna,2/15/16,2015,May,5/12/15,MDPH3_K515,MDPH3K515,yes_plateC,MDPH_K515,Muskegon,Deep,H3,Hypolimnion,3,WholeFree,GVSU
Marian,2/5/16,DNA_only,2.5019,Edna,2/15/16,2015,May,5/12/15,MINH1_P515,MINH1P515,yes_plateC,MINH_P515,Muskegon,Inlet,H1,Hypolimnion,20,Particle,GVSU
Marian,2/5/16,DNA_only,10.7848,Edna,2/15/16,2015,September,9/30/15,MOTH3_J915,MOTH3J915,yes_plateC,MOTH_J915,Muskegon,Outlet,H3,Hypolimnion,0,WholePart,GVSU
Kyle,2/8/16,DNA_only,3.2079,Edna,2/24/16,2015,July,7/21/15,MBRE2_F715,MBRE2F715,yes_plateC,MBRE_F715,Muskegon,Bear,E2,Epilimnion,3,Free,GVSU
Kyle,2/8/16,DNA_only,4.3589,Edna,2/24/16,2015,May,5/12/15,MDPE1_F515,MDPE1F515,yes_plateC,MDPE_F515,Muskegon,Deep,E1,Epilimnion,3,Free,GVSU
Kyle,2/8/16,DNA_only,1.5134,Edna,2/24/16,2015,September,9/30/15,MINH2_P915,MINH2P915,yes_plateC,MINH_P915,Muskegon,Inlet,H2,Hypolimnion,20,Particle,GVSU
Kyle,2/8/16,DNA_only,2.985,Edna,2/24/16,2015,May,5/12/15,MOTE3_J515,MOTE3J515,yes_plateC,MOTE_J515,Muskegon,Outlet,E3,Epilimnion,0,WholePart,GVSU
Kyle,2/9/16,DNA_only,0.1797,Edna,2/24/16,2015,July,7/21/15,MBRH1_P715,MBRH1P715,not_sequenced,MBRH_P715,Muskegon,Bear,H1,Hypolimnion,20,Particle,GVSU
Kyle,2/9/16,DNA_only,4.5224,Edna,2/24/16,2015,September,9/30/15,MBRH3_J915,MBRH3J915,yes_plateC,MBRH_J915,Muskegon,Bear,H3,Hypolimnion,0,WholePart,GVSU
Kyle,2/9/16,DNA_only,1.42,Edna,2/24/16,2015,September,9/30/15,MDPE2_P915,MDPE2P915,yes_plateC,MDPE_P915,Muskegon,Deep,E2,Epilimnion,20,Particle,GVSU
Kyle,2/9/16,DNA_only,1.2693,Edna,2/24/16,2015,July,7/21/15,MDPH3_J715,MDPH3J715,yes_plateC,MDPH_J715,Muskegon,Deep,H3,Hypolimnion,0,WholePart,GVSU
Kyle,2/9/16,DNA_only,4.3915,Edna,2/24/16,2015,May,5/12/15,MINE1_F515,MINE1F515,yes_plateC,MINE_F515,Muskegon,Inlet,E1,Epilimnion,3,Free,GVSU
Kyle,2/9/16,DNA_only,3.1074,Edna,2/24/16,2015,May,5/12/15,MINE3_K515,MINE3K515,yes_plateC,MINE_K515,Muskegon,Inlet,E3,Epilimnion,3,WholeFree,GVSU
Kyle,2/9/16,DNA_only,5.8517,Edna,2/24/16,2015,September,9/30/15,MINH3_J915,MINH3J915,yes_plateC,MINH_J915,Muskegon,Inlet,H3,Hypolimnion,0,WholePart,GVSU
Kyle,2/9/16,DNA_only,0.8399,Edna,2/24/16,2015,September,9/30/15,MOTH1_P915,MOTH1P915,not_sequenced,MOTH_P915,Muskegon,Outlet,H1,Hypolimnion,20,Particle,GVSU
Amadeus,2/10/16,DNA_only,2.6181,Edna,2/24/16,2015,September,9/30/15,MBRE1_F915,MBRE1F915,yes_plateC,MBRE_F915,Muskegon,Bear,E1,Epilimnion,3,Free,GVSU
Amadeus,2/10/16,DNA_only,2.2138,Edna,2/24/16,2015,May,5/12/15,MBRH3_K515,MBRH3K515,yes_plateC,MBRH_K515,Muskegon,Bear,H3,Hypolimnion,3,WholeFree,GVSU
Amadeus,2/10/16,DNA_only,1.3387,Edna,2/24/16,2015,May,5/12/15,MDPE1_P515,MDPE1P515,yes_plateC,MDPE_P515,Muskegon,Deep,E1,Epilimnion,20,Particle,GVSU
Amadeus,2/10/16,DNA_only,1.5611,Edna,2/24/16,2015,July,7/21/15,MINE1_P715,MINE1P715,yes_plateC,MINE_P715,Muskegon,Inlet,E1,Epilimnion,20,Particle,GVSU
Kyle,2/15/16,DNA_only,3.1241,Edna,2/24/16,2015,July,7/21/15,MBRE1_F715,MBRE1F715,yes_plateC,MBRE_F715,Muskegon,Bear,E1,Epilimnion,3,Free,GVSU
Kyle,2/15/16,DNA_only,0.2674,Edna,2/24/16,2015,May,5/12/15,MBRE2_P515,MBRE2P515,not_sequenced,MBRE_P515,Muskegon,Bear,E2,Epilimnion,20,Particle,GVSU
Kyle,2/15/16,DNA_only,5.3705,Edna,2/24/16,2015,September,9/30/15,MBRE3_J915,MBRE3J915,yes_plateC,MBRE_J915,Muskegon,Bear,E3,Epilimnion,0,WholePart,GVSU
Kyle,2/15/16,DNA_only,0.4317,Edna,2/24/16,2015,September,9/30/15,MBRH1_P915,MBRH1P915,not_sequenced,MBRH_P915,Muskegon,Bear,H1,Hypolimnion,20,Particle,GVSU
Kyle,2/15/16,DNA_only,1.057,Edna,2/24/16,2015,July,7/21/15,MBRH3_K715,MBRH3K715,yes_plateC,MBRH_K715,Muskegon,Bear,H3,Hypolimnion,3,WholeFree,GVSU
Kyle,2/15/16,DNA_only,2.4062,Edna,2/24/16,2015,May,5/12/15,MDPE3_J515,MDPE3J515,yes_plateC,MDPE_J515,Muskegon,Deep,E3,Epilimnion,0,WholePart,GVSU
Kyle,2/15/16,DNA_only,2.6285,Edna,2/24/16,2015,September,9/30/15,MINE3_K915,MINE3K915,yes_plateC,MINE_K915,Muskegon,Inlet,E3,Epilimnion,3,WholeFree,GVSU
Kyle,2/15/16,DNA_only,0.6886,Edna,2/24/16,2015,July,7/21/15,MOTE1_P715,MOTE1P715,not_sequenced,MOTE_P715,Muskegon,Outlet,E1,Epilimnion,20,Particle,GVSU
Kyle,2/17/16,DNA_only,1.2148,Edna,2/24/16,2015,July,7/21/15,MBRH1_F715,MBRH1F715,yes_plateC,MBRH_F715,Muskegon,Bear,H1,Hypolimnion,3,Free,GVSU
Kyle,2/17/16,DNA_only,0.4173,Edna,2/24/16,2015,May,5/12/15,MBRH2_P515,MBRH2P515,not_sequenced,MBRH_P515,Muskegon,Bear,H2,Hypolimnion,20,Particle,GVSU
Kyle,2/17/16,DNA_only,5.482,Edna,2/24/16,2015,May,5/12/15,MDPE3_K515,MDPE3K515,yes_plateC,MDPE_K515,Muskegon,Deep,E3,Epilimnion,3,WholeFree,GVSU
Kyle,2/17/16,DNA_only,1.3368,Edna,2/24/16,2015,July,7/21/15,MDPH3_K715,MDPH3K715,yes_plateC,MDPH_K715,Muskegon,Deep,H3,Hypolimnion,3,WholeFree,GVSU
Kyle,2/17/16,DNA_only,3.2004,Edna,2/24/16,2015,September,9/30/15,MINE3_J915,MINE3J915,yes_plateC,MINE_J915,Muskegon,Inlet,E3,Epilimnion,0,WholePart,GVSU
Kyle,2/17/16,DNA_only,2.9056,Edna,2/24/16,2015,May,5/12/15,MINH3_K515,MINH3K515,yes_plateC,MINH_K515,Muskegon,Inlet,H3,Hypolimnion,3,WholeFree,GVSU
Kyle,2/17/16,DNA_only,1.55,Edna,2/24/16,2015,September,9/30/15,MOTE2_P915,MOTE2P915,yes_plateC,MOTE_P915,Muskegon,Outlet,E2,Epilimnion,20,Particle,GVSU
Kyle,2/17/16,DNA_only,1.2677,Edna,2/24/16,2015,July,7/21/15,MOTH2_F715,MOTH2F715,yes_plateC,MOTH_F715,Muskegon,Outlet,H2,Hypolimnion,3,Free,GVSU
Kyle,2/23/16,DNA_only,0.9404,Edna,2/24/16,2015,September,9/30/15,MBRE1_P915,MBRE1P915,not_sequenced,MBRE_P915,Muskegon,Bear,E1,Epilimnion,20,Particle,GVSU
Kyle,2/23/16,DNA_only,0.3345,Edna,2/24/16,2015,May,5/12/15,MBRE3_J515,MBRE3J515,not_sequenced,MBRE_J515,Muskegon,Bear,E3,Epilimnion,0,WholePart,GVSU
Kyle,2/23/16,DNA_only,0.2654,Edna,2/24/16,2015,July,7/21/15,MBRH2_P715,MBRH2P715,not_sequenced,MBRH_P715,Muskegon,Bear,H2,Hypolimnion,20,Particle,GVSU
Kyle,2/23/16,DNA_only,2.1089,Edna,2/24/16,2015,September,9/30/15,MDPE1_F915,MDPE1F915,yes_plateC,MDPE_F915,Muskegon,Deep,E1,Epilimnion,3,Free,GVSU
Kyle,2/23/16,DNA_only,0.6788,Edna,2/24/16,2015,July,7/21/15,MDPH1_P715,MDPH1P715,not_sequenced,MDPH_P715,Muskegon,Deep,H1,Hypolimnion,20,Particle,GVSU
Kyle,2/23/16,DNA_only,2.5633,Edna,2/24/16,2015,May,5/12/15,MDPH2_F515,MDPH2F515,yes_plateC,MDPH_F515,Muskegon,Deep,H2,Hypolimnion,3,Free,GVSU
Kyle,2/23/16,DNA_only,3.0882,Edna,2/24/16,2015,May,5/12/15,MINE1_P515,MINE1P515,yes_plateC,MINE_P515,Muskegon,Inlet,E1,Epilimnion,20,Particle,GVSU
Kyle,2/23/16,DNA_only,1.9015,Edna,2/24/16,2015,July,7/21/15,MINE2_P715,MINE2P715,yes_plateC,MINE_P715,Muskegon,Inlet,E2,Epilimnion,20,Particle,GVSU
Kyle,2/23/16,DNA_only,3.7462,Edna,2/24/16,2015,September,9/30/15,MINH1_P915,MINH1P915,yes_plateC,MINH_P915,Muskegon,Inlet,H1,Hypolimnion,20,Particle,GVSU
Kyle,2/23/16,DNA_only,4.575,Edna,2/24/16,2015,September,9/30/15,MOTE1_F915,MOTE1F915,yes_plateC,MOTE_F915,Muskegon,Outlet,E1,Epilimnion,3,Free,GVSU
Kyle,2/23/16,DNA_only,5.0321,Edna,2/24/16,2015,July,7/21/15,MOTE2_F715,MOTE2F715,yes_plateC,MOTE_F715,Muskegon,Outlet,E2,Epilimnion,3,Free,GVSU
Kyle,2/23/16,DNA_only,0.9547,Edna,2/24/16,2015,May,5/12/15,MOTH1_P515,MOTH1P515,not_sequenced,MOTH_P515,Muskegon,Outlet,H1,Hypolimnion,20,Particle,GVSU
Amadeus,2/26/16,DNA_only,0.29578,Kyle,3/23/16,2015,July,7/21/15,MBRE2_P715,MBRE2P715,not_sequenced,MBRE_P715,Muskegon,Bear,E2,Epilimnion,20,Particle,GVSU
Amadeus,2/26/16,DNA_only,0.41492,Kyle,3/23/16,2015,July,7/21/15,MDPE2_P715,MDPE2P715,not_sequenced,MDPE_P715,Muskegon,Deep,E2,Epilimnion,20,Particle,GVSU
Amadeus,2/26/16,DNA_only,2.8865,Kyle,3/23/16,2015,September,9/30/15,MINH3_K915,MINH3K915,yes_plateC,MINH_K915,Muskegon,Inlet,H3,Hypolimnion,3,WholeFree,GVSU
Amadeus,2/26/16,DNA_only,0.39928,Kyle,3/23/16,2015,July,7/21/15,MOTE2_P715,MOTE2P715,not_sequenced,MOTE_P715,Muskegon,Outlet,E2,Epilimnion,20,Particle,GVSU
Marian,3/2/16,DNA_only,0.28842,Kyle,3/23/16,2015,May,5/12/15,MBRH1_P515,MBRH1P515,not_sequenced,MBRH_P515,Muskegon,Bear,H1,Hypolimnion,20,Particle,GVSU
Marian,3/2/16,DNA_only,4.74858,Kyle,3/23/16,2015,May,5/12/15,MINE2_F515,MINE2F515,yes_plateC,MINE_F515,Muskegon,Inlet,E2,Epilimnion,3,Free,GVSU
Marian,3/2/16,DNA_only,7.73444,Kyle,3/23/16,2015,May,5/12/15,MOTE2_F515,MOTE2F515,yes_plateC,MOTE_F515,Muskegon,Outlet,E2,Epilimnion,3,Free,GVSU
Marian,3/2/16,DNA_only,3.2476,Kyle,3/23/16,2015,May,5/12/15,MOTH2_F515,MOTH2F515,yes_plateC,MOTH_F515,Muskegon,Outlet,H2,Hypolimnion,3,Free,GVSU
Marian,3/2/16,DNA_only,0.6164,Kyle,3/23/16,2015,May,5/12/15,MOTH3_J515,MOTH3J515,not_sequenced,MOTH_J515,Muskegon,Outlet,H3,Hypolimnion,0,WholePart,GVSU
Marian,3/2/16,DNA_only,1.52214,Kyle,3/23/16,2015,July,7/21/15,MDPH2_F715,MDPH2F715,yes_plateC,MDPH_F715,Muskegon,Deep,H2,Hypolimnion,3,Free,GVSU
Marian,3/2/16,DNA_only,2.4817,Kyle,3/23/16,2015,July,7/21/15,MINE3_J715,MINE3J715,yes_plateC,MINE_J715,Muskegon,Inlet,E3,Epilimnion,0,WholePart,GVSU
Marian,3/2/16,DNA_only,4.20762,Kyle,3/23/16,2015,July,7/21/15,MINH2_F715,MINH2F715,yes_plateC,MINH_F715,Muskegon,Inlet,H2,Hypolimnion,3,Free,GVSU
Marian,3/2/16,DNA_only,1.70522,Kyle,3/23/16,2015,July,7/21/15,MOTH1_F715,MOTH1F715,yes_plateC,MOTH_F715,Muskegon,Outlet,H1,Hypolimnion,3,Free,GVSU
Marian,3/2/16,DNA_only,2.98954,Kyle,3/23/16,2015,September,9/30/15,MBRH3_K915,MBRH3K915,yes_plateC,MBRH_K915,Muskegon,Bear,H3,Hypolimnion,3,WholeFree,GVSU
Marian,3/2/16,DNA_only,5.2969,Kyle,3/23/16,2015,September,9/30/15,MDPE3_J915,MDPE3J915,yes_plateC,MDPE_J915,Muskegon,Deep,E3,Epilimnion,0,WholePart,GVSU
Marian,3/2/16,DNA_only,0.16054,Kyle,3/23/16,2015,September,9/30/15,MDPH3_J915,MDPH3J915,not_sequenced,MDPH_J915,Muskegon,Deep,H3,Hypolimnion,0,WholePart,GVSU
Kyle,3/7/16,DNA_only,0.46414,Kyle,3/23/16,2015,May,5/12/15,MBRE1_P515,MBRE1P515,not_sequenced,MBRE_P515,Muskegon,Bear,E1,Epilimnion,20,Particle,GVSU
Kyle,3/7/16,DNA_only,1.40852,Kyle,3/23/16,2015,September,9/30/15,MBRH1_F915,MBRH1F915,yes_plateC,MBRH_F915,Muskegon,Bear,H1,Hypolimnion,3,Free,GVSU
Kyle,3/7/16,DNA_only,1.99456,Kyle,3/23/16,2015,July,7/21/15,MDPE1_P715,MDPE1P715,yes_plateC,MDPE_P715,Muskegon,Deep,E1,Epilimnion,20,Particle,GVSU
Kyle,3/7/16,DNA_only,2.34278,Kyle,3/23/16,2015,May,5/12/15,MDPH3_J515,MDPH3J515,yes_plateC,MDPH_J515,Muskegon,Deep,H3,Hypolimnion,0,WholePart,GVSU
Kyle,3/7/16,DNA_only,4.44406,Kyle,3/23/16,2015,September,9/30/15,MINE2_F915,MINE2F915,yes_plateC,MINE_F915,Muskegon,Inlet,E2,Epilimnion,3,Free,GVSU
Kyle,3/7/16,DNA_only,2.1252,Kyle,3/23/16,2015,July,7/21/15,MINH1_P715,MINH1P715,yes_plateC,MINH_P715,Muskegon,Inlet,H1,Hypolimnion,20,Particle,GVSU
Kyle,3/7/16,DNA_only,2.1298,Kyle,3/23/16,2015,May,5/12/15,MOTE1_P515,MOTE1P515,yes_plateC,MOTE_P515,Muskegon,Outlet,E1,Epilimnion,20,Particle,GVSU
Kyle,3/7/16,DNA_only,4.31526,Kyle,3/23/16,2015,September,9/30/15,MOTE3_K915,MOTE3K915,yes_plateC,MOTE_K915,Muskegon,Outlet,E3,Epilimnion,3,WholeFree,GVSU
Kyle,3/8/16,DNA_only,3.16204,Kyle,3/23/16,2015,May,5/12/15,MBRE1_F515,MBRE1F515,yes_plateC,MBRE_F515,Muskegon,Bear,E1,Epilimnion,3,Free,GVSU
Kyle,3/8/16,DNA_only,2.09208,Kyle,3/23/16,2015,July,7/21/15,MBRH2_F715,MBRH2F715,yes_plateC,MBRH_F715,Muskegon,Bear,H2,Hypolimnion,3,Free,GVSU
Kyle,3/8/16,DNA_only,1.07088,Kyle,3/23/16,2015,September,9/30/15,MBRE2_P915,MBRE2P915,yes_plateC,MBRE_P915,Muskegon,Bear,E2,Epilimnion,20,Particle,GVSU
Kyle,3/8/16,DNA_only,5.58486,Kyle,3/23/16,2015,May,5/12/15,MDPE2_F515,MDPE2F515,yes_plateC,MDPE_F515,Muskegon,Deep,E2,Epilimnion,3,Free,GVSU
Kyle,3/8/16,DNA_only,5.36452,Kyle,3/23/16,2015,July,7/21/15,MDPE3_J715,MDPE3J715,yes_plateC,MDPE_J715,Muskegon,Deep,E3,Epilimnion,0,WholePart,GVSU
Kyle,3/8/16,DNA_only,3.80236,Kyle,3/23/16,2015,September,9/30/15,MDPH1_P915,MDPH1P915,yes_plateC,MDPH_P915,Muskegon,Deep,H1,Hypolimnion,20,Particle,GVSU
Kyle,3/8/16,DNA_only,3.38928,Kyle,3/23/16,2015,May,5/12/15,MINE2_P515,MINE2P515,yes_plateD,MINE_P515,Muskegon,Inlet,E2,Epilimnion,20,Particle,GVSU
Kyle,3/8/16,DNA_only,2.51942,Kyle,3/23/16,2015,July,7/21/15,MINE3_K715,MINE3K715,yes_plateD,MINE_K715,Muskegon,Inlet,E3,Epilimnion,3,WholeFree,GVSU
Kyle,3/8/16,DNA_only,4.37,Kyle,3/23/16,2015,September,9/30/15,MINH2_F915,MINH2F915,yes_plateD,MINH_F915,Muskegon,Inlet,H2,Hypolimnion,3,Free,GVSU
Kyle,3/8/16,DNA_only,6.555,Kyle,3/23/16,2015,May,5/12/15,MOTE1_F515,MOTE1F515,yes_plateD,MOTE_F515,Muskegon,Outlet,E1,Epilimnion,3,Free,GVSU
Kyle,3/8/16,DNA_only,5.22146,Kyle,3/23/16,2015,July,7/21/15,MOTE3_K715,MOTE3K715,yes_plateD,MOTE_K715,Muskegon,Outlet,E3,Epilimnion,3,WholeFree,GVSU
Kyle,3/8/16,DNA_only,4.67176,Kyle,3/23/16,2015,September,9/30/15,MOTH3_K915,MOTH3K915,yes_plateD,MOTH_K915,Muskegon,Outlet,H3,Hypolimnion,3,WholeFree,GVSU
Amadeus,3/11/16,DNA_only,3.94128,Kyle,3/23/16,2015,May,5/12/15,MBRE3_K515,MBRE3K515,yes_plateD,MBRE_K515,Muskegon,Bear,E3,Epilimnion,3,WholeFree,GVSU
Amadeus,3/11/16,DNA_only,9.20644,Kyle,3/23/16,2015,July,7/21/15,MDPE3_K715,MDPE3K715,yes_plateD,MDPE_K715,Muskegon,Deep,E3,Epilimnion,3,WholeFree,GVSU
Amadeus,3/11/16,DNA_only,1.27098,Kyle,3/23/16,2015,May,5/12/15,MDPH2_P515,MDPH2P515,yes_plateD,MDPH_P515,Muskegon,Deep,H2,Hypolimnion,20,Particle,GVSU
Amadeus,3/11/16,DNA_only,1.679,Kyle,3/23/16,2015,July,7/21/15,MINE1_F715,MINE1F715,yes_plateD,MINE_F715,Muskegon,Inlet,E1,Epilimnion,3,Free,GVSU
Amadeus,3/11/16,DNA_only,0.3111,Marian,3/23/16,2015,July,7/21/15,MINH2_P715,MINH2P715,not_sequenced,MINH_P715,Muskegon,Inlet,H2,Hypolimnion,20,Particle,GVSU
Amadeus,3/11/16,DNA_only,3.5808,Marian,3/23/16,2015,September,9/30/15,MOTE3_J915,MOTE3J915,yes_plateD,MOTE_J915,Muskegon,Outlet,E3,Epilimnion,0,WholePart,GVSU
Kyle,3/14/16,DNA_only,5.9554,Marian,3/23/16,2015,September,9/30/15,MBRE2_F915,MBRE2F915,yes_plateD,MBRE_F915,Muskegon,Bear,E2,Epilimnion,3,Free,GVSU
Kyle,3/14/16,DNA_only,5.4083,Marian,3/23/16,2015,July,7/21/15,MBRE3_K715,MBRE3K715,yes_plateD,MBRE_K715,Muskegon,Bear,E3,Epilimnion,3,WholeFree,GVSU
Kyle,3/14/16,DNA_only,1.4834,Marian,3/25/16,2015,September,9/30/15,MDPE1_P915,MDPE1P915,yes_plateD,MDPE_P915,Muskegon,Deep,E1,Epilimnion,20,Particle,GVSU
Kyle,3/14/16,DNA_only,0.5267,Marian,3/25/16,2015,July,7/21/15,MDPH2_P715,MDPH2P715,not_sequenced,MDPH_P715,Muskegon,Deep,H2,Hypolimnion,20,Particle,GVSU
Kyle,3/14/16,DNA_only,2.0658,Marian,3/25/16,2015,September,9/30/15,MINE2_P915,MINE2P915,yes_plateD,MINE_P915,Muskegon,Inlet,E2,Epilimnion,20,Particle,GVSU
